ts,run_id,label,dpid,port_no,interval_s,tx_rate_bps,rx_rate_bps,tx_pps,rx_pps,tx_err_rate,rx_err_rate,tx_drop_rate,rx_drop_rate,utilization,loss_rate,score,is_anomaly
1778468990.705,baseline_1,normal,00:00:00:00:00:00:03:01,5,5.001,95.974,95.974,0.200,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1778468990.704,baseline_1,normal,00:00:00:00:00:00:02:01,5,5.000,95.995,95.995,0.200,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1778468990.705,baseline_1,normal,00:00:00:00:00:00:01:02,2,5.001,95.980,95.980,0.200,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1778468990.705,baseline_1,normal,00:00:00:00:00:00:03:03,5,5.001,95.986,95.986,0.200,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1778468990.706,baseline_1,normal,00:00:00:00:00:00:02:03,2,5.001,95.977,95.977,0.200,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1778468990.706,baseline_1,normal,00:00:00:00:00:00:03:02,2,5.001,95.990,95.990,0.200,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1778468990.705,baseline_1,normal,00:00:00:00:00:00:01:01,2,5.001,95.987,95.987,0.200,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1778468990.706,baseline_1,normal,00:00:00:00:00:00:01:03,5,5.001,95.981,95.981,0.200,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1778468990.705,baseline_1,normal,00:00:00:00:00:00:03:01,2,5.001,95.974,95.974,0.200,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1778468990.704,baseline_1,normal,00:00:00:00:00:00:02:01,2,5.000,95.995,95.995,0.200,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1778468990.705,baseline_1,normal,00:00:00:00:00:00:01:02,5,5.001,95.980,95.980,0.200,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1778468990.705,baseline_1,normal,00:00:00:00:00:00:03:03,2,5.001,95.986,95.986,0.200,0.200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
